"Source","Line","Kind","Raw","External","Resolved","Exists","CaseExact"
"courses/nursing/central/pgimer-nursing.html","2084","attr","../../../assets/images/eduooz-log.png","False","assets/images/eduooz-log.png","True","True"
"courses/nursing/central/pgimer-nursing.html","2084","string","../../../assets/images/eduooz-log.png","False","assets/images/eduooz-log.png","True","True"
"courses/nursing/central/pgimer-nursing.html","2087","attr","../../../assets/images/eduooz-log.png","False","assets/images/eduooz-log.png","True","True"
"courses/nursing/central/pgimer-nursing.html","2087","string","../../../assets/images/eduooz-log.png","False","assets/images/eduooz-log.png","True","True"
"courses/nursing/central/pgimer-nursing.html","2143","attr","../../../assets/images/mentors/SHINE.png","False","assets/images/mentors/SHINE.png","True","True"
"courses/nursing/central/pgimer-nursing.html","2143","string","../../../assets/images/mentors/SHINE.png","False","assets/images/mentors/SHINE.png","True","True"
"courses/nursing/central/pgimer-nursing.html","2167","attr","../../../assets/images/mentors/NAYANA.jpeg","False","assets/images/mentors/NAYANA.jpeg","True","True"
"courses/nursing/central/pgimer-nursing.html","2167","string","../../../assets/images/mentors/NAYANA.jpeg","False","assets/images/mentors/NAYANA.jpeg","True","True"
"courses/nursing/central/pgimer-nursing.html","2191","attr","../../../assets/images/mentors/VIDHU.JPG.jpeg","False","assets/images/mentors/VIDHU.JPG.jpeg","True","True"
"courses/nursing/central/pgimer-nursing.html","2191","string","../../../assets/images/mentors/VIDHU.JPG.jpeg","False","assets/images/mentors/VIDHU.JPG.jpeg","True","True"
"courses/nursing/central/pgimer-nursing.html","2247","attr","https://img.youtube.com/vi/E1X1RFFt138/maxresdefault.jpg","True",,,
"courses/nursing/central/pgimer-nursing.html","2247","string","https://img.youtube.com/vi/E1X1RFFt138/maxresdefault.jpg","True",,,
"courses/nursing/central/pgimer-nursing.html","2265","attr","https://img.youtube.com/vi/E1X1RFFt138/maxresdefault.jpg","True",,,
"courses/nursing/central/pgimer-nursing.html","2265","string","https://img.youtube.com/vi/E1X1RFFt138/maxresdefault.jpg","True",,,
"courses/nursing/central/pgimer-nursing.html","2297","attr","https://img.youtube.com/vi/E1X1RFFt138/maxresdefault.jpg","True",,,
"courses/nursing/central/pgimer-nursing.html","2297","string","https://img.youtube.com/vi/E1X1RFFt138/maxresdefault.jpg","True",,,
"courses/nursing/central/pgimer-nursing.html","2298","attr","https://img.youtube.com/vi/E1X1RFFt138/maxresdefault.jpg","True",,,
"courses/nursing/central/pgimer-nursing.html","2298","string","https://img.youtube.com/vi/E1X1RFFt138/maxresdefault.jpg","True",,,
"courses/nursing/central/pgimer-nursing.html","2306","attr","https://img.youtube.com/vi/E1X1RFFt138/maxresdefault.jpg","True",,,
"courses/nursing/central/pgimer-nursing.html","2306","string","https://img.youtube.com/vi/E1X1RFFt138/maxresdefault.jpg","True",,,
"courses/nursing/central/pgimer-nursing.html","2333","attr","https://img.youtube.com/vi/4J_sUv_L5f0/maxresdefault.jpg","True",,,
"courses/nursing/central/pgimer-nursing.html","2333","string","https://img.youtube.com/vi/4J_sUv_L5f0/maxresdefault.jpg","True",,,
"courses/nursing/central/pgimer-nursing.html","2334","attr","https://img.youtube.com/vi/4J_sUv_L5f0/maxresdefault.jpg","True",,,
"courses/nursing/central/pgimer-nursing.html","2334","string","https://img.youtube.com/vi/4J_sUv_L5f0/maxresdefault.jpg","True",,,
"courses/nursing/central/pgimer-nursing.html","2342","attr","https://img.youtube.com/vi/4J_sUv_L5f0/maxresdefault.jpg","True",,,
"courses/nursing/central/pgimer-nursing.html","2342","string","https://img.youtube.com/vi/4J_sUv_L5f0/maxresdefault.jpg","True",,,
"courses/nursing/central/pgimer-nursing.html","2366","attr","https://img.youtube.com/vi/XjogZEgAA2M/maxresdefault.jpg","True",,,
"courses/nursing/central/pgimer-nursing.html","2366","string","https://img.youtube.com/vi/XjogZEgAA2M/maxresdefault.jpg","True",,,
"courses/nursing/central/pgimer-nursing.html","2367","attr","https://img.youtube.com/vi/XjogZEgAA2M/maxresdefault.jpg","True",,,
"courses/nursing/central/pgimer-nursing.html","2367","string","https://img.youtube.com/vi/XjogZEgAA2M/maxresdefault.jpg","True",,,
"courses/nursing/central/pgimer-nursing.html","2375","attr","https://img.youtube.com/vi/XjogZEgAA2M/maxresdefault.jpg","True",,,
"courses/nursing/central/pgimer-nursing.html","2375","string","https://img.youtube.com/vi/XjogZEgAA2M/maxresdefault.jpg","True",,,
"courses/nursing/central/pgimer-nursing.html","2557","attr","../../../assets/Eduooz-app/Home.jpg","False","assets/Eduooz-app/Home.jpg","True","True"
"courses/nursing/central/pgimer-nursing.html","2557","string","../../../assets/Eduooz-app/Home.jpg","False","assets/Eduooz-app/Home.jpg","True","True"
"courses/nursing/central/pgimer-nursing.html","2564","attr","../../../assets/Eduooz-app/Course.jpg","False","assets/Eduooz-app/Course.jpg","True","True"
"courses/nursing/central/pgimer-nursing.html","2564","string","../../../assets/Eduooz-app/Course.jpg","False","assets/Eduooz-app/Course.jpg","True","True"
"courses/nursing/central/pgimer-nursing.html","2572","attr","../../../assets/Eduooz-app/Exam.jpg","False","assets/Eduooz-app/Exam.jpg","True","True"
"courses/nursing/central/pgimer-nursing.html","2572","string","../../../assets/Eduooz-app/Exam.jpg","False","assets/Eduooz-app/Exam.jpg","True","True"
"courses/nursing/central/pgimer-nursing.html","2580","attr","../../../assets/Eduooz-app/Analytics.jpg","False","assets/Eduooz-app/Analytics.jpg","True","True"
"courses/nursing/central/pgimer-nursing.html","2580","string","../../../assets/Eduooz-app/Analytics.jpg","False","assets/Eduooz-app/Analytics.jpg","True","True"
"courses/nursing/central/pgimer-nursing.html","2588","attr","../../../assets/Eduooz-app/Practice.jpg","False","assets/Eduooz-app/Practice.jpg","True","True"
"courses/nursing/central/pgimer-nursing.html","2588","string","../../../assets/Eduooz-app/Practice.jpg","False","assets/Eduooz-app/Practice.jpg","True","True"
"courses/nursing/central/pgimer-nursing.html","2596","attr","../../../assets/Eduooz-app/Leaderboard.jpg","False","assets/Eduooz-app/Leaderboard.jpg","True","True"
"courses/nursing/central/pgimer-nursing.html","2596","string","../../../assets/Eduooz-app/Leaderboard.jpg","False","assets/Eduooz-app/Leaderboard.jpg","True","True"
"courses/nursing/central/rcc-nursing.html","1679","attr","../../../assets/images/eduooz-log.png","False","assets/images/eduooz-log.png","True","True"
"courses/nursing/central/rcc-nursing.html","1679","string","../../../assets/images/eduooz-log.png","False","assets/images/eduooz-log.png","True","True"
"courses/nursing/central/rcc-nursing.html","1682","attr","../../../assets/images/eduooz-log.png","False","assets/images/eduooz-log.png","True","True"
"courses/nursing/central/rcc-nursing.html","1682","string","../../../assets/images/eduooz-log.png","False","assets/images/eduooz-log.png","True","True"
"courses/nursing/central/rcc-nursing.html","1685","attr","../../../assets/images/eduooz-log.png","False","assets/images/eduooz-log.png","True","True"
"courses/nursing/central/rcc-nursing.html","1685","string","../../../assets/images/eduooz-log.png","False","assets/images/eduooz-log.png","True","True"
"courses/nursing/central/rcc-nursing.html","1688","attr","../../../assets/images/eduooz-log.png","False","assets/images/eduooz-log.png","True","True"
"courses/nursing/central/rcc-nursing.html","1688","string","../../../assets/images/eduooz-log.png","False","assets/images/eduooz-log.png","True","True"
"courses/nursing/central/rcc-nursing.html","1744","attr","../../../assets/images/mentors/SHINE.png","False","assets/images/mentors/SHINE.png","True","True"
"courses/nursing/central/rcc-nursing.html","1744","string","../../../assets/images/mentors/SHINE.png","False","assets/images/mentors/SHINE.png","True","True"
"courses/nursing/central/rcc-nursing.html","1768","attr","../../../assets/images/mentors/NAYANA.jpeg","False","assets/images/mentors/NAYANA.jpeg","True","True"
"courses/nursing/central/rcc-nursing.html","1768","string","../../../assets/images/mentors/NAYANA.jpeg","False","assets/images/mentors/NAYANA.jpeg","True","True"
"courses/nursing/central/rcc-nursing.html","1792","attr","../../../assets/images/mentors/VIDHU.JPG.jpeg","False","assets/images/mentors/VIDHU.JPG.jpeg","True","True"
